"subject" "activity" "Average_tBodyAccMagMean" "Average_tBodyAccMagStd" "Average_tGravityAccMagMean" "Average_tGravityAccMagStd" "Average_tBodyAccJerkMagMean" "Average_tBodyAccJerkMagStd" "Average_tBodyGyroMagMean" "Average_tBodyGyroMagStd" "Average_tBodyGyroJerkMagMean" "Average_tBodyGyroJerkMagStd" "Average_fBodyAccMagMean" "Average_fBodyAccMagStd" "Average_fBodyBodyAccJerkMagMean" "Average_fBodyBodyAccJerkMagStd" "Average_fBodyGyroMagMean" "Average_fBodyBodyGyroMagStd" "Average_fBodyBodyGyroJerkMagMean" "Average_fBodyBodyGyroJerkMagStd"
"3" "WALKING" -0.223220662382114 -0.345045935528455 -0.223220662382114 -0.345045935528455 -0.318112209837398 -0.252918414381301 -0.232069487183008 -0.405793432227642 -0.516425285203252 -0.556594091300813 -0.317686782764228 -0.46349650699187 -0.271536997878049 -0.23606786604439 -0.458034292113821 -0.473524586585366 -0.575975686422764 -0.56467275902439
"3" "WALKING_DOWNSTAIRS" -0.0486126571072072 -0.0257418727855856 -0.0486126571072072 -0.0257418727855856 -0.25467143050991 -0.110869796963964 -0.14840310300991 -0.22483358445045 -0.545303654774775 -0.602766575675676 0.0150668315297297 -0.202953175013964 -0.0921984478522523 -0.144592063052971 -0.34600306643991 -0.283297632824324 -0.59934656972973 -0.636413285045045
"3" "WALKING_UPSTAIRS" -0.159699109070806 -0.330354447991935 -0.159699109070806 -0.330354447991935 -0.520614313548387 -0.503400530887097 -0.224810732209677 -0.283293486040323 -0.690270478790323 -0.747598352177419 -0.360276949112903 -0.419957201854839 -0.48466412016129 -0.533169528951613 -0.480107106612903 -0.291221164825 -0.746807486370968 -0.766932946532258
"4" "LAYING" -0.954557603148148 -0.931292216611111 -0.954557603148148 -0.931292216611111 -0.970095771666667 -0.960786430740741 -0.930236462592593 -0.947031781666667 -0.985068502037037 -0.982698213703704 -0.939389701296296 -0.937187975962963 -0.96228712537037 -0.958037119259259 -0.961556660185185 -0.947100325185185 -0.983609073333333 -0.982543631666667
"4" "SITTING" -0.93569482 -0.9144078448 -0.93569482 -0.9144078448 -0.9701322836 -0.9625491104 -0.9260633138 -0.928898293 -0.9804904618 -0.9758066902 -0.929002095 -0.9198157096 -0.9625007338 -0.9615845194 -0.9487697524 -0.9288505544 -0.9765477634 -0.9762617538
"4" "STANDING" -0.906478051785714 -0.890976683392857 -0.906478051785714 -0.890976683392857 -0.963370738392857 -0.958159482142857 -0.900982100535714 -0.885144317678571 -0.967614073928571 -0.964282784285714 -0.917614014821429 -0.895340042142857 -0.956139283571429 -0.96003249875 -0.914209165714286 -0.887194404285714 -0.964471139464286 -0.9664302175
"4" "WALKING" -0.312050574166667 -0.527679103166667 -0.312050574166667 -0.527679103166667 -0.366700879833333 -0.316918956 -0.49779220106 -0.553116111166667 -0.6813040365 -0.7301463685 -0.450804558333333 -0.651172628166667 -0.318587811 -0.320458701 -0.609285588016667 -0.593937200833333 -0.724327420666667 -0.757768081166667
"4" "WALKING_DOWNSTAIRS" -0.0491616726733333 -0.0819559041111111 -0.0491616726733333 -0.0819559041111111 -0.228851413747333 -0.216858921977778 -0.3466062928 -0.3805726254 -0.592843014888889 -0.637079543555556 -0.01907433524 -0.263644030288889 -0.175295286557778 -0.280426776955556 -0.429213369555556 -0.457674088 -0.621752455777778 -0.685470931777778
"4" "WALKING_UPSTAIRS" -0.153703935357692 -0.212012300480769 -0.153703935357692 -0.212012300480769 -0.400922254807692 -0.437261477884615 -0.299779407884615 -0.510974134423077 -0.686978374423077 -0.755270457692308 -0.276825498230769 -0.301005898461538 -0.397406285 -0.497324087307692 -0.575794072115385 -0.552489628846154 -0.740749226346154 -0.794209483076923
"5" "LAYING" -0.966777882884615 -0.958612786346154 -0.966777882884615 -0.958612786346154 -0.980141253846154 -0.977477145384615 -0.946938300576923 -0.958287921923077 -0.9864194225 -0.98377138 -0.962234984038462 -0.962525369423077 -0.977356379807692 -0.976381934807692 -0.968257068846154 -0.959263063269231 -0.984618025769231 -0.983434493076923
"5" "SITTING" -0.9379783225 -0.920939027727273 -0.9379783225 -0.920939027727273 -0.969320155681818 -0.965757731590909 -0.934301646590909 -0.931414810454545 -0.973848287045455 -0.970392610454546 -0.936290604545455 -0.925669291136364 -0.964440302272727 -0.966545323409091 -0.944760322045455 -0.934746865454545 -0.971598370227273 -0.970675403409091
"5" "STANDING" -0.906104701071429 -0.87977380125 -0.906104701071429 -0.87977380125 -0.956863566071429 -0.942962047678571 -0.900671630714286 -0.867041711785714 -0.958405900892857 -0.947970723571429 -0.9046413925 -0.886745170714286 -0.941825903035714 -0.943601960178571 -0.904543921607143 -0.868913993928571 -0.952286438035714 -0.946196462857143
"5" "WALKING" -0.158338674394643 -0.377178733392857 -0.158338674394643 -0.377178733392857 -0.288333024071429 -0.282242276785714 -0.355933083571429 -0.492176823571429 -0.444532485357143 -0.48919974625 -0.304992488892857 -0.519636926071429 -0.269481661080357 -0.305685376071429 -0.484262828928571 -0.589741506785714 -0.548053574821429 -0.455665300892857
"5" "WALKING_DOWNSTAIRS" 0.211138853638298 0.205422375957447 0.211138853638298 0.205422375957447 -0.0637528559361702 -0.0292570509829787 -0.218029835319149 -0.360678305253192 -0.39719562106383 -0.450303212340426 0.155742168808511 0.0428533623276596 0.00918394264170213 -0.089735699787234 -0.349338414731915 -0.484141274255319 -0.453697247021277 -0.487128422553191
"5" "WALKING_UPSTAIRS" 0.0435562021989362 -0.136736383765957 0.0435562021989362 -0.136736383765957 -0.247403476914894 -0.310186545957447 -0.235516929306383 -0.354687870212766 -0.47348816787234 -0.557988065531915 -0.169261525 -0.254091927148936 -0.264674938957447 -0.378616675957447 -0.392564530851064 -0.440445051914894 -0.571344138723404 -0.572485019787234
"6" "LAYING" -0.918878850824561 -0.897326245964912 -0.918878850824561 -0.897326245964912 -0.954750504912281 -0.950341934385965 -0.908980174736842 -0.920914497017544 -0.955645738245614 -0.953157001578947 -0.91235165222807 -0.905373979824561 -0.948655471052632 -0.951552664035088 -0.930153639473684 -0.928694890175439 -0.953695957368421 -0.955504654561404
"6" "SITTING" -0.949543531272727 -0.931572655636364 -0.949543531272727 -0.931572655636364 -0.962733502 -0.948181827818182 -0.932703812181818 -0.921259472727273 -0.962929227818182 -0.950150571818182 -0.935750391272727 -0.939547202909091 -0.948348653636364 -0.947304700363636 -0.929725679272727 -0.929549141636364 -0.952034566 -0.951196693454545
"6" "STANDING" -0.945022876491228 -0.939310249649123 -0.945022876491228 -0.939310249649123 -0.967102436140351 -0.956099145964912 -0.939404744385965 -0.915891572982456 -0.963406222982456 -0.952536233859649 -0.945949804035088 -0.94456410754386 -0.955914005438597 -0.95538157877193 -0.926664297017544 -0.923108761578947 -0.955425138245614 -0.952088499473684
"6" "WALKING" -0.166840713631579 -0.266734167368421 -0.166840713631579 -0.266734167368421 -0.195117026052632 -0.0706029648421053 -0.281207841122807 -0.36560291677193 -0.321290483140351 -0.364708342315789 -0.201386607649123 -0.421683093508772 -0.055401423331579 -0.0964999702982456 -0.329681123368421 -0.510648322631579 -0.366500534122807 -0.408078906482456
"6" "WALKING_DOWNSTAIRS" 0.333754731458333 0.373611914166667 0.333754731458333 0.373611914166667 0.10384507225 0.209502174375 0.0142677821595833 -0.0426276750979167 -0.0829366854166667 -0.111228416159583 0.395958034583333 0.1446227570625 0.243834258785417 0.15480886140625 -0.0143735434 -0.242353857320833 -0.132705384364583 -0.145733545496458
"6" "WALKING_UPSTAIRS" 0.0177790974433333 -0.0791508842176471 0.0177790974433333 -0.0791508842176471 -0.207379799254902 -0.169970363039216 -0.12912124415098 -0.199893710196078 -0.342895367921569 -0.440079851313725 -0.0819479396203922 -0.222161433666667 -0.169868234496078 -0.177734840922353 -0.230627015078431 -0.318173892545098 -0.45923633377451 -0.455937719019608
"7" "LAYING" -0.936392023846154 -0.907039513153846 -0.936392023846154 -0.907039513153846 -0.980127239615385 -0.967310932307692 -0.915793634807692 -0.918662459038462 -0.983008829038462 -0.971205137884615 -0.927976880634615 -0.910542462919231 -0.968066259230769 -0.965359228076923 -0.941130719230769 -0.918892518653846 -0.974117912115385 -0.969403035384615
"7" "SITTING" -0.918432107083333 -0.881957619770833 -0.918432107083333 -0.881957619770833 -0.976559676458333 -0.970243274166667 -0.897870535 -0.898063314375 -0.981665122291667 -0.976214430208333 -0.90895677625 -0.88691563825 -0.970954184166667 -0.9684948675 -0.933081955208333 -0.895804978125 -0.978634991458333 -0.97496593875
"7" "STANDING" -0.942724659245283 -0.933590156792453 -0.942724659245283 -0.933590156792453 -0.973381306226415 -0.968566356037736 -0.943425564528302 -0.918438958867924 -0.977377083018868 -0.97210793 -0.945611450377358 -0.93728796509434 -0.967417888301887 -0.969092161886792 -0.93870498490566 -0.919848139056604 -0.973671168679245 -0.971899418301887
"7" "WALKING" -0.0978090439438596 -0.198554708385965 -0.0978090439438596 -0.198554708385965 -0.192948900438596 -0.027557329277193 -0.305959351403509 -0.19828316695614 -0.300022779964912 -0.0953401161070176 -0.151243649578947 -0.351706780526316 -0.0384187298547368 -0.022138358 -0.192909765467895 -0.343894914947368 -0.155339855862632 -0.0841663774087719
"7" "WALKING_DOWNSTAIRS" 0.0198795285851064 0.214544028088723 0.0198795285851064 0.214544028088723 -0.170319619372979 0.0901836280510638 -0.18874081887234 -0.259751603446809 -0.399229959148936 -0.29477867693617 0.218911066191489 0.0214440976893617 0.067389886106383 0.107856840302128 -0.255045057404255 -0.396909651702128 -0.289096677191489 -0.353544695678723
"7" "WALKING_UPSTAIRS" -0.198074437978431 -0.33474460745098 -0.198074437978431 -0.33474460745098 -0.458695232352941 -0.471265710980392 -0.239099165627451 -0.418144852156863 -0.661969771960784 -0.67642807254902 -0.378618761568627 -0.415307106666667 -0.45478324745098 -0.497441363137255 -0.533982945882353 -0.444994481882353 -0.673327281960784 -0.704090967843137
"8" "LAYING" -0.935308633888889 -0.91325033 -0.935308633888889 -0.91325033 -0.97314748962963 -0.962954517222222 -0.924253348518518 -0.932470764444444 -0.978438191296296 -0.969029111666667 -0.932279645518518 -0.917257979425926 -0.961792852407407 -0.963791094259259 -0.944528950555556 -0.93678697 -0.968403945925926 -0.971793279814815
"8" "SITTING" -0.952139704347826 -0.929943615630435 -0.952139704347826 -0.929943615630435 -0.986061512173913 -0.980667377391304 -0.93268224326087 -0.953001632173913 -0.991807428043478 -0.986756670869565 -0.947981783478261 -0.93172124 -0.980932292391304 -0.97932021173913 -0.965806789347826 -0.953251156521739 -0.987730604130435 -0.986147262608696
"8" "STANDING" -0.953762884074074 -0.937187185222222 -0.953762884074074 -0.937187185222222 -0.984920797777778 -0.979932239074074 -0.952848496851852 -0.95322478962963 -0.987580587777778 -0.982460332222222 -0.953746070740741 -0.938628186322222 -0.979745872037037 -0.979135440925926 -0.964564224074074 -0.954119826296296 -0.983709233333333 -0.981832336296296
"8" "WALKING" 0.0516786278104167 -0.1804072826 0.0516786278104167 -0.1804072826 -0.0668322430433333 -0.184571053979167 -0.00310243820125 -0.238746703958333 -0.339129269583333 -0.502957255416667 -0.09521728274375 -0.360818978541667 -0.123834409766667 -0.276436130125 -0.301241848645833 -0.327459577895833 -0.473026230833333 -0.581240190833333
"8" "WALKING_DOWNSTAIRS" 0.176599311818421 0.131337867236842 0.176599311818421 0.131337867236842 0.262628490268421 0.2534082561 0.0993429744078947 -0.0466291872078947 -0.126189142894737 -0.157484866842105 0.301626757315789 -0.156141093578947 0.331528459921053 0.134734731236842 -0.00036272967368421 -0.255590314210526 -0.125179586744737 -0.26298447
"8" "WALKING_UPSTAIRS" 0.121026629195122 -0.227200254219512 0.121026629195122 -0.227200254219512 -0.141494613465854 -0.228296364146341 0.166447991 -0.109327923829268 -0.400664014146341 -0.493975031707317 -0.13026451905122 -0.409282851707317 -0.131850567460976 -0.379266499780488 -0.229610952609756 -0.183325647134146 -0.46327057804878 -0.575733290731707
"9" "LAYING" -0.9308684376 -0.91512680016 -0.9308684376 -0.91512680016 -0.9633745492 -0.9550268052 -0.9071250998 -0.8985578738 -0.964524819 -0.9528015598 -0.9266042952 -0.921929738394 -0.9543205856 -0.9550947122 -0.9186053356 -0.9034005814 -0.9558062546 -0.9522904702
"9" "SITTING" -0.8933617176 -0.8637564342 -0.8933617176 -0.8637564342 -0.964383757 -0.9517802432 -0.9032355368 -0.9066063206 -0.9733641366 -0.9663610734 -0.8977181972 -0.8691725114 -0.9530504408 -0.9493949814 -0.9344377378 -0.9064712292 -0.9683155878 -0.9659970148
"9" "STANDING" -0.945167482444444 -0.936105010444444 -0.945167482444444 -0.936105010444444 -0.969524578888889 -0.963764177777778 -0.921030223111111 -0.908291403111111 -0.969824044222222 -0.965287050888889 -0.946330171777778 -0.940265546444444 -0.963242884 -0.963593159555556 -0.929769067777778 -0.910909659555556 -0.967491628 -0.964770799111111
"9" "WALKING" -0.0980840496143461 -0.37942877 -0.0980840496143461 -0.37942877 -0.203733615519231 -0.317113487115385 -0.294542266826923 -0.489725811538462 -0.510253995769231 -0.599866472692308 -0.318801022711538 -0.513891953269231 -0.316870715576923 -0.322337536730769 -0.513797480384615 -0.562714528653846 -0.602581618269231 -0.624351923653846
"9" "WALKING_DOWNSTAIRS" 0.145886357935714 0.265120131365238 0.145886357935714 0.265120131365238 -0.16237608927619 0.039907818552381 -0.168921400633333 -0.322331464761905 -0.469028434047619 -0.455855425238095 0.222203941 0.0888671674047619 0.00716877883571429 0.0705526138333333 -0.347540226666667 -0.424170737142857 -0.463172053809524 -0.485158906904762
"9" "WALKING_UPSTAIRS" -0.260727581428571 -0.400222037142857 -0.260727581428571 -0.400222037142857 -0.440667540204082 -0.445485397959184 -0.0833234490061224 -0.425839761428571 -0.672840561836735 -0.748651255510204 -0.372890348979592 -0.509929461428571 -0.419533108571429 -0.484935752040816 -0.531482693877551 -0.456841325204082 -0.734159449387755 -0.787781590816326
